id	words	Self-fulfill	Appreciating Beauty	Social Relation	Health	Ambition & Ability	Finance
1230993:0	9	0	0	0	0	0	0
1230993:1	9	0	0	0	0	0	0
1230993:2	7	0	0	1	0	1	0
1230993:3	9	0	0	1	0	0	0
1230993:4	5	1	0	0	0	0	0
1232468:4	11	0	0	0	0	0	0
1253117:1	20	1	0	0	1	0	0
1253117:2	18	1	0	0	0	0	0
1253117:5	16	0	0	1	0	0	0
1256373:0	13	1	0	0	0	0	0
1256373:2	8	1	0	0	0	0	0
1264954:3	17	1	0	0	0	0	0
1264954:4	10	0	0	1	0	0	0
1269216:1	5	0	0	0	0	1	0
1269216:4	12	0	0	0	0	0	0
1275154:4	19	1	0	0	0	0	0
1275154:6	7	1	0	0	0	0	0
1275154:7	17	1	0	0	0	0	0
1275154:8	9	1	0	0	0	0	0
1280166:1	9	0	0	1	0	1	0
1280166:3	13	1	0	0	0	0	1
1280179:0	20	1	0	0	0	0	0
1280179:3	17	1	0	0	1	0	0
1286916:0	9	0	0	0	0	0	0
1286916:3	7	1	0	0	0	0	0
1286916:4	9	0	0	0	0	0	0
1287538:0	16	0	0	0	0	0	0
1287538:4	5	0	0	0	0	0	0
1287538:5	10	0	0	0	0	0	0
1289424:0	13	0	0	0	0	0	0
1289424:2	16	0	0	1	0	0	0
1289424:3	15	0	0	1	0	0	0
1289424:5	11	1	0	0	0	0	0
1293334:4	9	0	0	0	0	0	0
1293334:6	7	0	0	0	0	0	0
1297844:3	10	1	0	0	0	0	0
1297844:5	7	0	0	0	0	0	0
1300636:4	14	1	1	0	0	1	0
1303888:0	6	0	0	0	0	0	0
1303888:3	10	0	0	0	0	0	0
1303888:5	11	0	1	1	0	0	0
1303984:1	11	1	0	0	0	0	0
1308557:0	10	0	0	0	0	1	0
1308557:2	5	0	0	0	0	0	0
1310217:1	10	1	0	0	0	0	0
1310217:2	9	0	0	0	0	1	1
1318537:0	11	1	0	0	1	0	0
1318537:2	7	0	0	0	0	0	0
1318537:3	5	0	0	0	0	0	0
1318537:4	5	0	0	0	0	0	0
1328078:3	9	1	0	0	0	0	0
1328078:5	10	0	0	0	0	0	0
1335154:3	10	1	0	1	0	0	0
1335656:1	13	0	1	0	0	0	0
1335656:2	15	0	1	0	0	0	0
1335656:4	16	1	0	0	0	0	0
1335656:5	10	0	0	0	1	0	0
1338124:0	7	1	0	0	0	0	1
1338124:2	17	1	0	0	0	0	1
1338124:3	7	1	0	0	0	0	0
1340075:1	10	1	0	0	0	1	1
1340075:3	7	0	0	0	0	1	0
1340075:6	8	0	0	1	0	0	0
1347423:0	16	0	0	1	0	0	0
1347423:2	17	0	0	1	0	0	0
1347423:3	12	0	0	0	0	0	1
1349391:0	8	1	0	0	0	1	0
1349391:1	16	0	0	1	0	1	0
1352948:1	8	0	0	0	0	0	0
1353599:1	19	1	0	0	0	0	0
1353599:2	9	1	0	0	0	0	0
1353599:3	12	0	1	0	1	0	0
1357554:0	13	0	0	0	0	0	1
1357554:3	8	0	0	1	0	1	0
1357554:4	9	1	0	1	0	0	0
1357554:5	6	0	0	0	0	0	0
1367358:2	7	1	0	0	0	0	0
1367358:3	5	0	1	0	0	0	0
1380450:0	11	1	0	0	0	0	1
1387314:0	19	1	0	0	0	0	0
1387314:1	18	1	0	0	0	1	0
1387314:2	6	1	0	0	0	0	0
1387314:3	13	0	0	0	0	0	0
1398844:0	14	0	1	0	0	0	0
1398844:3	14	0	0	0	0	0	1
1398844:4	14	0	0	0	0	1	1
1398844:5	18	0	0	0	0	1	0
1404042:4	10	0	0	0	0	0	0
1410878:2	8	1	0	0	0	0	0
1413697:2	12	0	1	0	0	1	0
1413697:3	11	0	0	0	0	0	0
1413697:4	7	0	0	0	0	0	0
1417496:1	14	0	0	0	1	0	0
1417496:2	15	0	1	0	0	0	0
1430994:0	13	0	1	1	0	0	0
1430994:1	5	0	0	0	0	1	0
1430994:10	19	0	0	0	0	0	0
1430994:5	7	1	0	0	0	0	0
1431154:1	9	1	0	0	0	0	0
1431154:3	5	0	0	0	0	0	0
1432551:2	5	1	0	0	0	0	0
1448587:1	14	1	0	0	0	0	0
1448587:2	17	1	0	0	1	0	0
1448587:5	6	0	0	0	0	0	0
1451107:0	6	1	0	0	0	0	0
1451107:1	10	0	1	0	0	0	0
1451107:4	5	1	0	0	0	0	0
1451107:6	11	0	0	1	0	0	0
1451107:7	11	0	0	0	0	0	0
1451109:0	11	1	0	0	0	0	0
1457607:1	6	0	0	1	0	0	0
1457607:2	8	1	0	0	0	0	0
1457607:3	8	0	0	0	0	0	0
1457607:5	18	0	1	0	0	0	0
1459569:1	14	0	0	0	0	1	0
1460715:0	5	1	0	0	0	0	0
1470286:2	9	1	0	1	0	1	0
1470286:3	11	1	0	0	0	0	1
1470334:1	14	1	0	0	0	0	0
1470334:2	16	1	0	0	0	0	0
1470334:3	16	1	0	0	0	0	0
1471273:2	5	1	0	0	0	0	0
1477631:0	10	1	0	0	0	0	0
1477631:2	9	1	0	0	0	0	0
1486041:1	16	0	0	1	0	0	0
1486041:2	19	1	1	0	0	0	0
1490757:2	12	1	0	0	0	1	1
1496205:1	15	1	1	0	0	0	0
1496205:3	5	1	0	0	0	0	0
1496205:4	11	0	0	0	0	0	1
1496707:0	14	0	0	1	0	0	0
1500453:2	18	1	0	0	0	0	0
1500453:4	13	0	1	1	0	0	0
1506491:1	17	1	0	0	0	0	0
1538149:2	9	0	1	0	0	0	0
1538149:4	5	0	0	0	0	0	1
1543345:1	11	1	0	0	0	0	0
1543345:2	11	1	0	0	0	0	0
1561259:0	7	1	0	0	0	0	0
1561259:1	8	0	0	1	0	0	0
1572033:0	19	1	0	0	0	0	0
1572033:4	5	1	0	0	0	0	0
1573534:0	6	1	0	0	0	0	0
1577714:1	7	0	0	0	1	0	0
1586174:0	13	1	0	1	0	0	0
1586174:3	9	1	0	0	0	0	1
1586174:6	5	0	0	1	0	0	0
1603698:2	13	0	0	1	0	0	0
1603698:4	13	0	0	1	0	0	0
1603698:5	9	1	0	0	0	0	0
1606837:1	15	1	1	0	0	0	0
1609375:1	7	1	1	0	0	0	0
1609375:3	12	1	0	0	0	0	1
1611489:2	5	0	0	0	0	0	1
1615322:2	7	1	0	0	0	0	1
1623276:0	10	0	0	1	0	0	0
1632445:0	11	1	0	0	0	0	0
1632445:5	10	1	0	0	0	0	1
1632445:6	19	1	0	0	0	0	1
1632929:3	18	0	0	1	0	0	0
1642666:0	15	1	0	0	0	0	0
1649025:1	17	1	0	0	0	0	0
1649025:2	10	0	0	1	0	0	1
1649025:4	14	1	0	0	0	0	0
1655521:3	19	0	1	1	0	0	0
1664346:1	7	1	1	1	0	0	0
1726427:0	9	1	0	1	0	0	0
