id	words	Self-fulfill	Appreciating Beauty	Social Relation	Health	Ambition & Ability	Finance
36:0	7	0	0	0	0	0	0
36:1	14	0	0	0	0	0	1
36:10	7	0	0	0	0	1	0
36:11	12	0	0	0	0	1	0
36:6	13	0	1	0	0	0	0
36:7	20	0	0	0	0	1	1
36:8	12	0	0	0	0	1	0
370:1	7	1	0	0	0	1	0
370:4	5	0	0	0	0	1	0
371:2	5	1	0	0	0	0	1
372:5	6	0	0	0	0	0	1
373:0	11	1	0	0	0	1	0
373:1	15	0	0	0	0	1	0
374:1	14	0	0	0	0	1	0
374:10	9	0	0	0	0	1	0
374:13	16	0	0	0	0	1	0
375:0	11	0	1	0	0	0	1
375:2	12	0	0	0	0	1	0
376:0	5	1	0	0	0	0	0
376:2	19	1	0	0	0	0	0
376:3	6	0	0	0	0	0	0
377:4	9	0	0	0	0	0	0
379:1	11	0	0	0	0	0	1
37:0	12	1	0	0	0	0	0
380:6	19	1	0	0	0	1	1
381:1	5	0	0	0	0	0	0
381:2	14	0	0	0	0	1	0
383:0	5	0	0	0	0	0	0
383:1	12	0	1	0	0	1	0
383:3	14	0	0	0	0	1	0
384:1	10	0	0	0	0	0	0
384:2	14	0	0	0	0	1	0
385:4	11	0	0	0	0	1	0
385:5	8	1	0	0	0	0	1
386:1	6	0	1	0	0	1	0
386:3	9	0	0	0	0	1	0
387:3	16	0	0	0	0	1	0
389:0	5	0	0	0	0	0	0
389:1	12	1	0	0	0	1	0
389:2	11	1	0	0	0	0	0
389:3	14	1	0	0	0	1	0
389:4	10	1	0	0	0	0	0
38:2	15	1	0	0	0	0	0
390:1	17	0	0	0	0	0	0
390:3	5	0	0	0	0	0	0
391:1	18	0	0	0	0	1	0
391:10	20	1	1	0	0	1	0
391:11	15	0	1	0	0	0	0
391:12	16	0	1	0	0	0	0
391:15	16	0	0	0	0	1	0
391:17	14	0	0	0	0	1	0
391:19	20	0	0	0	0	1	0
391:21	14	0	0	0	0	1	0
391:22	9	0	0	0	0	1	0
391:24	10	0	0	0	1	0	0
391:5	7	0	0	0	0	0	0
393:3	18	0	1	0	0	0	0
393:6	17	1	1	0	0	0	1
394:10	14	0	0	0	1	1	0
394:5	16	1	0	0	0	0	1
394:6	9	0	1	0	0	0	0
394:7	12	0	0	0	0	0	0
39:3	6	0	0	0	0	0	0
39:6	17	0	0	0	0	1	0
3:2	13	0	1	0	0	1	0
40:0	11	1	0	0	0	0	0
40:10	20	1	1	0	0	1	0
40:11	17	1	0	0	0	1	0
40:3	6	0	0	0	0	1	0
40:4	12	0	0	0	0	1	0
41:1	10	1	1	0	0	1	0
42:10	9	0	0	0	0	0	0
42:6	17	0	0	0	0	1	0
42:7	13	0	1	0	0	0	0
43:0	8	1	0	0	0	0	0
44:3	8	0	1	0	0	0	0
45:11	15	0	1	0	0	0	0
45:3	15	0	0	0	0	1	0
45:4	14	0	0	0	0	0	0
45:8	8	1	0	0	0	0	0
46:2	12	0	1	0	0	0	0
47:0	11	1	1	0	0	0	0
48:3	6	0	1	0	0	0	0
48:5	13	0	1	0	0	0	0
48:7	13	0	0	0	0	1	0
49:1	17	0	0	0	0	0	0
49:4	17	0	0	0	0	0	0
49:5	15	0	0	0	0	0	1
4:0	12	0	0	0	0	0	0
4:1	14	1	0	0	0	1	0
4:1	14	1	0	0	0	1	0
50:2	16	0	0	1	0	1	0
50:3	8	0	1	0	0	0	0
50:5	11	0	0	0	0	0	1
50:6	20	0	0	0	0	0	1
52:2	12	0	0	0	1	0	0
53:2	15	0	0	0	0	0	1
54:0	11	0	0	0	0	0	0
54:1	13	0	0	0	0	1	1
54:4	15	0	0	0	0	1	1
55:1	13	0	1	0	0	1	0
55:2	6	0	1	0	0	0	0
56:0	12	0	0	0	0	1	0
57:0	5	0	1	0	0	0	0
57:2	5	0	1	0	0	0	0
58:0	6	1	0	0	0	0	0
58:2	10	0	0	0	0	1	0
59:1	16	0	0	0	0	1	0
5:3	9	0	0	0	0	1	0
5:4	7	0	0	0	0	1	0
5:8	12	0	1	0	0	0	0
60:4	13	0	0	0	0	0	1
64:0	8	0	0	0	0	1	0
64:2	5	0	0	0	0	1	0
64:4	5	0	0	0	0	0	1
66:0	5	1	0	0	0	0	0
66:1	8	1	0	0	0	0	0
68:2	8	0	1	0	0	0	0
68:5	8	0	0	0	0	0	0
69:0	15	1	0	0	0	0	0
69:2	8	0	0	0	0	0	0
69:3	19	0	0	0	0	1	0
6:0	12	0	1	0	0	0	0
6:11	13	0	1	0	0	1	0
6:12	12	1	0	0	0	1	0
6:14	11	0	0	0	0	0	0
6:15	12	0	0	0	0	1	0
6:2	15	0	1	0	0	0	0
6:3	8	0	1	0	0	0	0
6:4	9	0	1	0	0	0	0
70:0	9	0	0	0	0	1	0
70:4	7	0	0	0	0	0	0
71:6	19	0	0	0	0	1	0
71:7	5	0	0	0	0	0	0
78:0	15	0	0	0	0	1	0
79:3	8	0	0	0	0	1	0
79:5	18	0	0	0	0	1	0
79:8	8	0	1	0	0	1	0
81:0	11	0	1	0	0	1	0
81:1	6	0	0	0	0	1	0
83:2	7	0	0	0	0	1	0
85:10	11	1	0	0	0	1	0
85:13	5	0	0	0	0	1	1
85:9	19	0	0	0	0	0	1
86:0	12	1	0	0	0	0	0
86:4	12	0	1	0	0	0	0
88:1	6	0	0	0	0	1	1
88:2	5	0	0	0	0	1	1
88:3	6	0	0	0	0	1	1
90:0	9	0	0	0	0	1	1
92:0	20	0	0	0	0	1	0
92:16	7	0	0	0	0	1	0
93:2	11	0	0	0	0	1	0
94:1	8	0	0	0	0	1	0
94:2	9	0	0	0	0	1	0
94:8	16	0	0	0	0	0	1
95:0	10	0	0	0	0	1	0
96:0	15	0	0	0	0	1	1
96:2	15	0	0	0	0	1	0
97:0	16	0	0	0	0	1	1
97:1	16	0	0	0	0	1	1
97:13	7	0	0	0	0	1	0
97:2	12	0	0	0	0	1	0
97:4	17	0	0	0	0	1	1
B0096VDM8G_29_A1JFXUCXT356UK:5	15	0	0	0	0	1	0
100:3	15	0	0	0	0	1	1
101:0	11	0	0	0	0	1	0
101:2	6	0	0	0	0	1	0
101:5	9	1	0	0	0	0	0
101:6	14	1	1	0	0	0	1
104:12	9	0	0	0	0	0	0
104:2	10	0	0	0	0	1	0
104:4	6	0	0	0	0	1	0
104:5	20	0	0	1	0	1	0
104:6	11	0	0	0	0	1	0
104:7	14	0	0	0	0	0	1
104:8	5	0	0	0	0	0	1
105:3	9	0	0	0	0	0	0
105:4	10	0	0	0	0	1	0
105:7	5	0	0	0	0	1	0
10:0	19	0	0	0	0	1	0
10:1	18	0	0	0	0	0	0
10:2	10	0	0	0	0	0	1
111:0	8	0	0	0	0	0	0
111:1	5	0	0	1	0	0	0
111:2	8	0	0	0	0	1	0
111:3	5	0	0	0	0	1	1
112:4	12	0	0	0	0	0	1
114:0	20	0	0	0	0	1	1
114:1	8	0	0	0	0	0	0
114:2	8	0	0	0	0	0	0
114:6	8	0	0	0	0	0	0
115:1	12	1	0	1	0	0	0
115:13	18	0	0	0	0	0	0
115:2	14	0	0	0	0	1	1
115:7	18	0	0	0	0	1	0
115:8	11	0	0	0	0	1	0
11:0	11	1	0	0	0	0	0
11:11	7	0	1	0	0	0	0
11:5	8	0	0	0	0	1	0
121:2	14	0	0	0	0	1	0
122:10	7	0	0	0	0	1	1
122:6	10	0	0	0	0	1	0
122:8	5	0	0	0	0	0	0
124:0	14	0	0	0	0	0	0
124:2	9	0	1	0	0	0	1
124:5	17	0	0	0	0	1	0
124:6	5	0	1	0	0	0	0
124:7	14	0	1	0	0	0	0
127:9	12	0	0	0	0	0	0
128:0	13	1	0	0	0	0	0
128:3	8	1	0	0	0	0	0
128:5	5	0	0	0	0	1	0
12:1	12	0	0	0	0	1	0
12:3	10	0	0	0	0	0	1
130:1	10	0	0	0	0	1	0
130:5	6	0	0	1	0	0	0
130:6	10	0	0	1	0	0	0
130:7	18	0	0	0	0	0	1
131:1	9	0	0	0	0	0	0
132:0	9	0	0	0	0	0	0
134:11	19	0	0	0	0	0	0
134:12	12	0	0	1	0	0	0
134:4	16	0	0	0	0	0	0
135:0	11	1	0	0	0	1	0
135:2	6	0	0	0	0	0	0
139:1	17	0	0	0	0	1	0
139:2	12	0	0	0	0	1	0
143:3	17	0	0	0	0	1	1
145:0	15	0	0	0	0	1	1
145:1	20	0	0	0	0	0	1
147:1	6	0	0	0	0	1	0
147:3	10	0	0	0	0	1	0
149:1	14	0	0	0	0	1	0
149:3	7	0	0	0	0	0	0
149:4	7	0	0	0	0	0	0
150:3	20	0	1	0	0	0	0
154:0	11	0	0	0	0	0	1
154:1	7	0	0	0	0	1	1
154:11	9	0	0	0	0	0	0
154:3	12	0	0	0	0	1	0
154:4	13	0	0	0	0	1	0
154:5	10	0	0	0	0	1	0
154:8	13	0	0	0	0	1	0
154:9	20	0	0	0	0	1	0
155:0	13	0	0	0	0	1	1
155:1	12	0	0	0	0	0	0
155:3	13	0	0	0	0	1	1
155:4	6	0	0	1	0	0	0
160:1	14	0	0	1	0	0	0
160:2	15	1	1	1	0	1	0
160:3	14	1	0	0	0	1	0
164:4	15	0	0	0	0	1	0
164:5	18	1	1	0	0	0	0
164:6	12	1	0	0	0	1	0
165:0	12	1	0	0	0	0	0
166:14	13	1	0	0	0	0	1
166:7	12	0	0	0	0	1	0
166:8	5	1	0	0	0	0	0
167:0	5	0	0	0	0	0	0
167:1	7	0	1	0	0	0	0
169:0	19	0	1	0	0	1	1
16:0	8	0	0	0	1	1	1
16:1	10	0	0	0	1	0	0
16:3	12	0	0	1	0	0	1
16:4	8	1	0	0	0	0	0
170:0	6	0	0	0	0	1	0
170:2	7	0	1	0	0	1	0
170:3	8	1	0	0	0	0	1
171:6	9	0	0	0	0	0	0
172:1	8	1	1	0	0	1	0
172:3	6	0	0	0	0	0	0
175:1	9	0	0	0	0	1	0
176:0	19	1	0	0	0	0	1
176:2	10	1	0	0	0	0	1
177:0	10	1	0	0	0	1	0
177:2	9	0	1	0	0	1	0
178:1	20	0	0	0	0	1	0
179:1	17	1	1	0	0	1	0
179:2	7	1	0	0	0	1	0
183:1	15	0	0	0	0	1	0
183:2	17	0	0	0	0	1	0
185:1	9	0	0	0	0	0	0
189:14	6	0	0	0	0	0	1
189:16	7	0	1	0	0	0	0
189:17	8	0	1	0	0	0	0
189:18	18	0	0	1	0	1	0
189:21	11	1	0	0	0	0	0
189:3	13	0	0	0	0	0	0
189:6	7	0	0	0	0	1	0
189:9	13	0	1	0	0	0	0
193:2	6	0	0	0	0	0	1
196:1	19	0	0	0	0	1	0
196:11	11	0	0	0	0	0	0
197:0	13	0	0	0	0	0	1
19:0	8	1	0	0	0	0	0
19:1	13	0	0	0	0	1	1
19:3	7	0	1	0	0	0	0
1:0	6	0	0	0	0	0	0
1:4	8	0	0	0	0	0	1
1:8	17	0	0	1	0	0	0
200:0	11	1	0	0	0	1	1
201:2	13	1	0	0	0	0	0
201:3	11	1	0	0	0	0	0
201:5	11	0	0	0	0	1	0
201:7	18	1	1	1	0	0	0
202:0	11	1	0	0	0	1	0
202:3	6	0	0	0	0	1	0
204:2	18	1	0	1	0	0	0
204:3	7	0	0	0	0	0	0
206:0	8	1	0	0	0	0	0
207:0	9	0	0	0	0	1	0
211:3	9	0	0	0	0	1	1
213:0	13	1	0	0	0	1	0
213:15	10	0	0	1	0	0	0
213:4	20	0	0	1	0	0	0
213:5	15	0	0	1	0	0	0
213:6	9	0	0	1	0	0	0
214:0	16	1	1	0	0	0	0
21:0	9	0	1	0	0	0	1
21:2	16	0	1	0	0	0	0
21:3	5	0	0	0	0	1	0
228:0	8	0	0	0	0	1	0
22:0	11	0	1	0	0	0	1
22:5	18	0	0	0	0	0	0
22:7	19	0	0	0	0	1	0
22:9	16	0	0	0	0	1	0
230:1	12	0	0	0	0	0	0
230:17	14	0	0	0	0	0	0
230:3	11	0	0	0	0	1	1
230:7	12	0	0	0	0	1	0
231:7	12	0	0	0	0	0	0
234:4	15	1	0	0	0	1	0
236:0	18	1	1	0	0	1	0
239:1	13	0	0	0	0	1	1
239:9	14	0	0	0	0	0	0
240:0	9	0	1	0	0	1	0
242:1	10	0	0	0	0	1	0
243:0	19	1	1	0	0	1	0
246:5	16	0	0	0	0	1	0
247:0	12	1	0	0	0	1	0
24:8	11	0	0	0	0	0	0
252:0	5	0	0	0	0	0	0
256:1	5	0	1	0	0	0	0
256:3	9	0	0	0	0	0	0
257:5	11	0	1	0	0	0	0
257:6	13	0	1	0	0	0	0
259:2	18	0	1	0	0	0	1
259:7	18	1	1	0	0	1	0
25:1	11	0	0	0	0	0	1
25:2	13	0	0	0	0	1	0
25:3	7	0	0	0	0	0	1
25:4	5	0	0	0	0	1	1
25:6	11	0	0	0	0	1	0
25:9	20	0	0	0	0	1	0
262:2	6	0	0	0	0	0	0
262:7	10	0	0	0	0	1	0
263:5	20	0	0	0	0	1	0
263:8	15	1	1	0	0	0	0
263:9	15	1	0	0	0	1	0
264:2	18	1	1	0	0	0	0
266:2	6	1	0	0	0	0	0
266:4	12	0	1	0	0	0	0
267:0	17	1	0	0	1	0	0
269:0	14	0	1	0	0	1	0
270:0	7	1	0	0	0	1	0
273:0	14	1	1	0	0	1	0
273:2	7	0	1	0	0	0	0
273:3	11	0	1	0	0	0	0
274:2	18	0	0	0	0	1	0
275:0	10	1	0	0	0	0	0
275:2	6	1	0	0	0	0	0
277:0	20	1	0	0	0	0	0
280:1	19	1	0	0	0	1	0
284:1	10	1	0	0	0	0	1
285:0	7	0	1	0	0	1	0
285:1	6	0	0	0	0	0	0
285:4	5	0	0	0	0	0	0
286:2	20	1	1	0	0	0	0
288:15	6	0	1	0	0	0	0
288:17	11	0	0	0	0	0	1
288:22	6	0	0	0	0	1	0
288:4	17	0	1	0	0	0	0
288:9	11	0	1	0	0	0	0
289:0	8	1	0	0	0	0	0
289:1	14	1	0	0	0	0	1
289:12	6	0	0	0	0	0	0
289:2	9	0	1	0	0	1	0
289:6	10	0	1	0	0	0	0
289:8	6	0	1	0	0	0	0
290:0	16	1	0	0	0	0	0
294:0	17	1	0	0	0	0	0
294:3	13	0	0	0	0	1	0
294:4	12	0	0	0	0	0	0
296:3	13	0	1	0	0	0	0
296:5	6	1	0	0	0	0	0
298:0	13	1	0	0	0	0	1
298:1	9	0	0	0	0	1	0
298:3	12	0	0	0	0	1	0
29:0	6	1	0	0	0	0	0
29:8	15	0	0	0	0	1	0
300:4	11	1	0	0	0	1	0
300:5	8	1	0	0	0	0	0
301:0	7	0	0	0	0	1	0
301:1	10	0	0	0	0	0	0
301:2	9	1	1	0	0	0	0
303:0	10	1	1	0	0	1	0
303:1	11	1	0	0	0	1	0
303:3	10	0	0	0	0	1	0
303:7	18	1	0	0	0	0	0
303:9	17	0	0	0	0	1	0
306:1	15	0	0	0	0	1	0
306:2	20	0	0	0	0	1	0
307:3	19	0	1	0	0	0	0
308:4	10	0	1	0	0	0	0
310:2	14	1	1	0	0	0	0
310:3	17	0	1	0	0	0	0
312:1	14	0	1	0	0	1	0
315:0	15	1	1	0	0	1	0
317:1	11	0	1	0	0	0	0
318:2	10	1	1	0	0	0	0
319:3	9	0	0	0	0	1	0
319:5	10	0	0	0	0	0	1
31:1	16	0	0	0	0	1	0
31:12	11	0	1	0	0	1	0
31:13	7	0	0	0	0	1	0
31:2	16	0	0	0	0	1	0
31:3	10	0	0	0	0	1	0
320:1	18	0	0	0	0	0	1
321:0	9	0	1	0	0	0	0
325:0	12	1	0	0	0	0	1
327:1	19	0	0	0	0	1	0
328:2	17	0	0	0	0	1	0
329:5	13	0	0	0	0	1	0
